time,source,sink
2393,113.4,37.7
2394,113.6,37.7
2395,113.5,37.6
2396,113.5,37.7
2397,113.4,37.7
2398,113.4,37.8
2399,113.2,38
2400,113.2,38.1
2401,113.4,38.1
2402,113.3,38.2
2403,113.3,38.2
2404,112.9,38.2
2405,113.1,38.3
2406,113,38.4
2407,113.1,38.3
2408,113,38.3
2409,113.1,38.2
2410,113,38.3
2411,113.1,38.3
2412,113,38.3
2413,112.8,38.3
2414,112.8,38.3
2415,112.8,38.3
2416,112.8,38.4
2417,112.8,38.5
2418,112.8,38.5
2419,112.8,38.5
2420,112.8,38.6
2421,112.9,38.6
2422,113,38.6
2423,113,38.6
2424,112.8,38.5
2425,112.8,38.6
2426,112.7,38.6
2427,112.7,38.5
2428,112.7,38.6
2429,112.6,38.6
2430,112.6,38.6
2431,112.6,38.6
2432,112.6,38.6
2433,112.8,38.6
2434,112.9,38.6
2435,112.8,38.5
2436,112.7,38.5
2437,112.8,38.5
2438,112.8,38.4
2439,112.9,38.4
2440,112.9,38.5
2441,112.8,38.4
2442,112.7,38.4
2443,112.7,38.4
2444,112.4,38.5
2445,112.6,38.5
2446,112.5,38.3
2447,112.6,38.2
2448,112.6,38.2
2449,112.6,38.2
2450,112.6,38.2
2451,112.9,38.2
2452,112.8,38.2
2453,112.8,38.1
2454,112.9,38.1
2455,112.8,38.2
2456,112.8,38.3
2457,112.5,38.3
2458,112.6,38.3
2459,112.6,38.2
2460,112.6,38.1
2461,112.6,38.4
2462,112.5,38.4
2463,112.7,38.3
2464,112.6,38.2
2465,112.8,38.3
2466,112.9,38.3
2467,113,38.4
2468,113,38.5
2469,112.9,38.4
2470,112.8,38.4
2471,113,38.4
2472,113.1,38.4
2473,113,38.5
2474,112.9,38.5
2475,112.9,38.5
2476,112.8,38.6
2477,112.7,38.6
2478,112.8,38.5
2479,112.8,38.5
2480,112.7,38.5
2481,112.9,38.5
2482,113,38.5
2483,112.9,38.7
2484,113,38.7
2485,113.1,38.8
2486,113,38.7
2487,113,38.7
2488,113,38.7
2489,112.9,38.7
2490,113,38.7
2491,112.9,38.7
2492,113,38.8
2493,113,38.8
2494,113,38.8
2495,113,38.7
2496,112.9,38.7
2497,112.9,38.8
2498,113.1,38.8
2499,113.1,38.8
2500,113.1,38.8
2501,113.3,38.7
2502,113.3,38.7
2503,113.4,38.7
2504,113.3,38.6
2505,113.3,38.6
2506,113.2,38.6
2507,113.2,38.6
2508,113.2,38.6
2509,113.2,38.6
2510,113.2,38.7
2511,113.1,38.7
2512,113,38.8
2513,113,38.8
2514,113,38.9
2515,113,38.8
2516,113.2,38.8
2517,113.3,38.8
2518,113.1,38.7
2519,113.2,38.5
2520,113.1,38.5
2521,113.1,38.5
2522,113.3,38.4
2523,113.2,38.5
2524,113.1,38.5
2525,113.1,38.5
2526,113.1,38.5
2527,113,38.5
2528,113,38.6
2529,113,38.5
2530,113.2,38.6
2531,113.3,38.5
2532,113.3,38.6
2533,113.3,38.5
2534,113.2,38.6
2535,113.3,38.6
2536,113.4,38.6
2537,113.3,38.6
2538,113.1,38.6
2539,112.8,38.5
2540,112.8,38.7
2541,112.8,38.6
2542,113,38.6
2543,113,38.6
2544,113,38.7
2545,113,38.7
2546,113.2,38.8
2547,113.3,38.8
2548,113.2,38.7
2549,113.3,38.7
2550,113.1,38.7
2551,113.3,38.7
2552,113.3,38.7
2553,113.1,38.6
2554,113.2,38.7
2555,113.2,38.6
2556,113.1,38.6
2557,112.9,38.5
2558,112.9,38.5
2559,112.9,38.4
2560,113,38.4
2561,113,38.4
2562,113,38.5
2563,113.1,38.6
2564,112.9,38.6
2565,112.9,38.6
2566,112.8,38.6
2567,112.9,38.6
2568,112.9,38.6
2569,112.9,38.6
2570,112.9,38.5
2571,112.8,38.5
2572,112.9,38.4
2573,113.1,38.5
2574,113.1,38.5
2575,113,38.5
2576,113,38.5
2577,112.7,38.5
2578,112.8,38.6
2579,112.7,38.6
2580,112.9,38.5
2581,113.1,38.5
2582,113.3,38.5
2583,113.2,38.3
2584,113.2,38.2
2585,113.1,38.2
2586,113.4,38.2
2587,113.4,38.2
2588,112.9,38.2
2589,112.8,38.2
2590,113,38.4
2591,113.2,38.4
2592,113.2,38.5
2593,113.2,38.5
2594,113,38.6
2595,113,38.6
2596,113.2,38.7
2597,113.1,38.7
2598,113.2,38.5
2599,113.1,38.5
2600,113.1,38.5
2601,113.2,38.4
2602,113.1,38.3
2603,112.9,38.4
